tag,Q,A,src
question,여자친구는 제가 1순위가 아니라는데 저는 여자친구가 1순위라 서운한 일이 많아요,여자친구가 전부인 사람이면 상대가 너무  지칠듯,fmkorea
talk,내일 오후부터 어디든 사람 많겠지?,내일이 마지막 찬스일지도 몰라,fmkorea
talk,헤어진지 일주일정도됐는데 이젠 무덤덤하네,금방정리되는사람도있고 그런거지,fmkorea
datecourse,분당 서현역 근처 고기 맛집좀요ㅠㅠ,은근변화가 이면서도 뭔가 없음 ㅎㅎ 어려가지 있는데,fmkorea
talk,오늘처럼 시원하게 비 내리는거 넘 좋다,울엄마같네 울엄만 벌써 빗속 산책다녀오ㅋㅋ,fmkorea
talk,거리두기 시행되면,물어야볼수있죠,fmkorea
talk,소개팅 첫날 삼겹살,상대방이 좋아하는ㅋㅋ,fmkorea
datecourse,서울경기 실내데이트 할게 머있을까용,잠실 월드몰!,fmkorea
question,전여친 붙잡음,전 그저 부럽습니다,fmkorea
question,대부분 1주년뒤로 N00일 챙기나요 안 챙기나요?,안챙김,fmkorea
talk,근데 생각해봤는데 카톡은 어느정도 티내는게 좋음,접점이없는데 어떻게 티를내? 뜬금없이 연락할수도없잖아,fmkorea
talk,자만추와 소개팅 차이는,자만추가 이상적인데 쉽지 않지,fmkorea
talk,학교 헬스 취미 연애 4병행 가능?,취미 세시간이 좀 빡셀듯,fmkorea
talk,관계가 애매하거나 바꾸고 싶으면,이거 맞다 대신에 너무 조급해하지말고,fmkorea
talk,썸녀랑 손잡고 껴안았는데,썸녀 눈치챔,fmkorea
talk,인생 망한 것 같아,몇살이신데요,fmkorea
datecourse,호캉스 질문이요!,돈많으면 롯데타워 시그니엘,fmkorea
question,여자가 인스타 팔로우 취소 하면 헤어지자는 뜻인가?,물어보셈 우리 헤어진거냐고,fmkorea
talk,크리스마스 선물 준비 하셨나요,제가 선물임,fmkorea
talk,솔로되니까 좋은 점 딱 하나,근데 여사친하고 놀면 장점이 있음?,fmkorea
talk,여자친구에게 혼자여행 허락 받았다!!,열쇠고리 왕창 사가 이쁜 티셔츠도 사와,fmkorea
talk,데이트 비용하니 생각나는 전여친,나도 저래서 헤어짐 ㅋㅋㅋ,fmkorea
talk,썸녀 36시간만에 선톡 왔다,36시간 만에 답장 썸?,fmkorea
talk,엄마가 카카오톡 프로필 사진 여친이야?? 라고 물어봄,어머니도 사실 아닌거 아신다,fmkorea
talk,새해 인사 보낸다 vs 만다,고고링,fmkorea
talk,결혼하면 안정 되는 거 맞다,혼자서도 잘 살 수 있는 두명이 뭉치면 확실히 더 좋을듯,fmkorea
talk,이별통보받은 남자 기준 평균 3개월이면 좀 무뎌지는거같은데,5일째 한달반은 언제옵니까 3개월 지나면 괜찮아지긴 할까요 한달반이면 초반보단 덤덤해지셨나요,fmkorea
talk,생리때 예민한 사람 만나본 적이 없음,진짜 운이 좋다고 생각함,fmkorea
question,문화재 보러가는거 좋아하는 여자 있나요?,난 좋은데 내주변엔 거의 없음ㅇㅅㅇ,fmkorea
talk,짝녀랑 연락안한지 10일차,이것이 사랑의 힘인가 귀엽넹,fmkorea
breakup,헤어졌어요,고생하셨어요 더 좋은 인연 있으실거에요,fmkorea
talk,복싱 배울까 다시 태권도 배울까,복싱ㄱㄱ,fmkorea
question,연락 답장이 느린 경우는 어떻게 해야할까요,놔주거나 냅두거나 ㅜ,fmkorea
question,쌍수한 분들 운동 얼마만에 하셨나요?,한달 정도면 해도 되지 않나?,fmkorea
question,할로윈 데이트,무조건 이태원,fmkorea
breakup,차단 당했는데 미련이 너무 남네요,왜 차단까지 당하심?,fmkorea
talk,난 만나다보면 호감이생기지않겠냐는말,사바사지 뭐,fmkorea
talk,30대 아저씨 슬슬 정리가 되는 것 같다,머리털은 안녕하신지요?,fmkorea
talk,애인네 가족이랑 터키 여행 다녀왔음!!,터키 치안은 어떰?,fmkorea
talk,사람 10대때가 진짜 엄청 중요한거같아,나두 10대 때 아무것도 안하니까 지금도 뭘 해야할지 모르겠엉,fmkorea
talk,누구랑 만나도 내가 꿇리지 않게 가치를 더 올리자,남자는 능력이지,fmkorea
datecourse,토끼정? 가본 사람?,토끼정 초밥은 안파는데ㅜㅜ 초밥 먹고싶으면 은행골 가봐 맛있다,fmkorea
talk,다들 애인의 귀여운 버릇 같은 거 있음?,내여친은 자꾸 숨어 몆년째 못찾겠어 아 ㅋㅋ,fmkorea
datecourse,실내 데이트 할 때,노래방,fmkorea
talk,썸에서 그 다음으로 넘어가는게 어렵네,썸맞아?,fmkorea
talk,잘돼가고있는 타이밍에 못만나니까 너무 답답함 ㅜ,장거리 진짜 장단점 확실한 연애,fmkorea
talk,요즘들어 기분이 좋다 와 행복하다 소리를 많이 듣는거 같네요,그게 행복이지,fmkorea
talk,연하남은 남자로 안보이나바요,잘생기면 다를걸?,fmkorea
talk,연인이랑 오래갈려면 아무리 사소한걸로 삐지고 서운하게 생기더라도 바로바로 말해야되는거같음,나도 이렇게 생각함!,fmkorea
talk,장거리 연애는 문자나 전화이별이 의외로 더 나을수도,각자 상황따라 알아서,fmkorea
talk,가끔 외모만보고 사겼다가 한탄글 올라오면 웃ㅋㅋ,맞지 맞지,fmkorea
datecourse,첫 타지 여행,이동수단이 뭔가여? 고속버스면 어느터미널?,fmkorea
talk,님덜은 여자친구한테 한번 더 반했던적있음?,나는 5년만났지만 아직도 데이트할때 집에 데리러가면 공동현관에서 나오는 모습이 너무 설렌다 이유:모름 그냥 설렘,fmkorea
talk,오늘 일찍 끝내준다는거야 만다는거야 ㅡㅡ,ㅋㅋ 꼭 늦게 말해주더라,fmkorea
talk,빼빼로데이 그거 상술인데 하여튼 인싸들은,돈 좀 써라!!,fmkorea
talk,여친이 부모님 간섭땜에 피곤해중이네,각자의 가정문화가 너무달라서 이해안되는애들도 많지,fmkorea
talk,연락 해볼 명분 하나 생겼는데,연락은 할 수 있으면 하는게 좋지,fmkorea
question,여자친구가 시간을 갖자고 하네요찾아가야할까요 기다려야 할까요,끝난거지 뭘 기다림 딴사람 찾으셈,fmkorea
datecourse,30일차 20대 초반 커플 1박2일 여행지 추천해주세요,강릉 추천드랴요,fmkorea
talk,요즘 다이어트 중인데,식단이랑 운동함?,fmkorea
talk,아무렇지 않은 척 살고 있지만 사실 똥줄탄다 ㅇㅇ,오징어게임 참가하시면 됨,fmkorea
breakup,여친이 마음식었다구 헤어지자는식으로 말하는데,너무 일방적인데,fmkorea
talk,전여친 잊는 방법 알려줄까요?,뭔가 몰두하면 잊혀지긴해,fmkorea
talk,살뺴면 잘생겻다고 ㅋㅋ,긁을수 없는 복권은 복권이 아니다,fmkorea
datecourse,경주여행가는데 여긴 꼭가라 제발 할만한곳 추천좀해주십사,경주출신인데 동궁과 월지 야간에 가는거 추천드려유 짱이쁩니다 무조건 낮말고 해 다 떨어지고 가야됨,fmkorea
breakup,환승이별 당했다,주식 상폐됐다 생각하고 마음 접음,fmkorea
talk,인생은 결국 고난의 연속인것같다,인내는 쓰고 열매는 달다,fmkorea
talk,내년 3월달에 좋은 소식 있을 수 있다는 팀장님의 말,와 부럽 ㅠㅠㅠ,fmkorea
breakup,헤어졌는데 같이 재밌게 놀던게 자꾸 생각나네요,저도 같은 학굔데 학교 다닐때마다 괴로워요 ㅠㅠ,fmkorea
breakup,2010~2020 헤어졌다,어려운때 같이 있어주는 찐 러브를 만날수 있길 바래요,fmkorea
talk,전여친 만날 것 같아요,걍 감정 없으면 신경 ㄴㄴ 하셈,fmkorea
talk,서울 혼자 갈 곳 추천 부탁해요,지금 방학이라 서울 핫플인 연남동 성수동 이런데가 나을듯,fmkorea
talk,수부지 지성피부,화장품에도 종류가 많답니다,fmkorea
talk,와 어떡하지 내가 여자를 울렸네하 ㅠㅠ 큰일났다,이상해,fmkorea
talk,범죄도시2 안 본 사람들 꼭 보삼,많이 잔인한가요?,fmkorea
breakup,좋아하는 사람을 그만 좋아하는 법 좀 알려주세요,다른사람을좋아해보죠,fmkorea
talk,외모 칭찬 받을때 짜릿함,기만 ㅡㅡ,fmkorea
talk,외국노래 하나 연습해볼까,마이클잭슨 유명하지,fmkorea
talk,난 뭔가 나만의 진중함이 있는게 좋아,제 얘기군요,fmkorea
talk,2주년 커플링 맞추려고하는데 알아보니까,커플링 볼까 하다가 결혼할때 제대로된거 맞추자 하고 결혼준비함,fmkorea
question,여자친구 1000일 선물 질문이요!,디올 지갑,fmkorea
talk,왜 여자들이 카톡 잘 안보는지 알겠음,우선순위가 존재하더라고,fmkorea
talk,헤어진지 약 2주째,왜 해어짐?,fmkorea
talk,님들 이거 차단해도 되겠지?,무시 ㄱ,fmkorea
talk,오늘 알바 짤리는 거랑 전여친한테 연락오는 꿈 꿨음,꿈은 반대래,fmkorea
talk,요즘 영화관 데이트 커플이 많이 줄은거같다,ㄹㅇ 재밌는 영화가 없음,fmkorea
datecourse,좀잇다 통영여행감,복국먹엉 시원해서 손발이 벌벌나옴,fmkorea
talk,문뜩 거울보다 생각나서 점뺐음,우선 진물나는거 계속 닦아내고 후시딘 바르고 후시딘 좀 굳으면 이지덤 같은거 붙이셈,fmkorea
talk,삼프터후 4번째 만남 영화같이보는거 거절당함,아니 너무하시넹 영화가 뭐라고 ㅋㅋ,fmkorea
talk,뭔가 상담해주고싶다,와신상담,fmkorea
talk,간헐적 단식만 하루 했는데 살빠짐 운동도 안 가고 저녁 치킨 먹었는데,수분임,fmkorea
breakup,"헤어지자고 하고 다음날 다시 팔로우 건 전여자친구,,",아모직른다 감정에 취해서 그랬을수도,fmkorea
breakup,내가 좀 더 잘 했으면 헤어지지 않았을거란 생각,헤어지면 다 그생각하죠 ㅋㅋ 저도 지금 3주 좀 안됐는데 이제 무덤덤해집니다 이겨내는거 충분히 가능~,fmkorea
talk,드디어 아이유 콘서트가 떳따ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,티켓팅 하루에 할텐대 둘다 노릴수 있으려나,fmkorea
talk,첫사랑의 기준이 뭐라고 생각함?,첫사랑 하면 첫 번째로 생각나는 사람,fmkorea
talk,안읽씹 5일ㅋㅋ,안읽씹은 사회적 예의라 생각하십셔,fmkorea
talk,여친이랑 660일 만났는데 같이 1박이상 다녀본 여행지,제주도3박4일 포천 원주 여수순천 강릉 경주 가봄,fmkorea
talk,애인이 절친새우까주는거 VS 절친이 애인새우까주는거 어떻게 더싫음?,절친이 애인 새우 까주는거 다 뺏어먹으면 안댐? 그럼 씹 극호인데,fmkorea
talk,톡 속도보단 내용이랑 지속력이 더 중요한것 같음,진리의 케바케,fmkorea
talk,오랜만에 시라노 연애조작단 봤는데,시라노랑 김종욱찾기 이 두개는 로코땡길때 항상 생각나는듯 ㄴㅋㅋ,fmkorea
talk,어제 술 먹고 번따 했는데 기억이 안난다;;,좋으면 하는거지,fmkorea
datecourse,!제발요! 시청역 근처 평일 점심 먹을것 추천 부탁드려요!,보닌쟝이 순수 8첩 도시락을 싼다,fmkorea
talk,외모보다 성격에 더 매력을 느끼는게 잘못된건가,잘못됐다 말할 수는 없고 드물다고 말할 수는 있겠음,fmkorea
question,썸 끝난걸 느낄때 마지막 연락함? 아님 그냥 차단??,여자쪽에서 먼저 연락씹는경우면 그냥 톡 안하고 마는데 위에같은 상황이라면 저 같은경우는 만나서 얘기하고 만나기 힘들고 어려우면 카톡남겨요,fmkorea
question,오늘 무조건 고백한다,너 내꺼 하자,fmkorea
question,복학생 영입제안 YES OR NO,진짜 무조건 ㄱ ㄱ,fmkorea
breakup,환승한 여친 결국 동거하나보네,조상님이 구해주셨네,fmkorea
question,안 친한데 오늘 연락해봐도 되나요?,그거 말고 뭐 방법이 있낭,fmkorea
question,친한 친구의 여동생한테 관심 가지는건 좀 아닌가요??,선만 지킨다면야,fmkorea
talk,과씨씨 동아리씨씨는 하는거 아니죠?,그냥햐요,fmkorea
datecourse,첫 연애라 그런가 데이트코스 짜기 어렵네유,구월동,fmkorea
talk,클럽이나 헌포 안가보신분들 많은가요?,한번도 안가봄 인생 통틀어서,fmkorea
breakup,다 정리했다고 하는데 다시 생각해보자고 하는건 가능성 있는걸까,머때문에 헤어졋는데?,fmkorea
question,근데 호감없어도 어이없는 농담 했을때 웃어주나?,재밌으면 웃어주지,fmkorea
question,가르마스타일 연출하려고 두달은 연습했는데 아직도못함,고데기 안쓰면 힘들지,fmkorea
talk,나는 눈이 낮은줄 알았는데,개안하셔야될듯,fmkorea
talk,꿈에서 연애했는데 너무 설레었음,너 그런상상하니?,fmkorea
talk,엄마 친구분들이 해주는 잘생겼다는 말,그냥 해주는 말은 아닌데 보는 눈이 좀 다르긴 하지,fmkorea
talk,남친이 곧 첫알바 시작하는데 너무 대견함,혹시 #화자# 이모야?,fmkorea
talk,히히 썸녀랑 1박 여행가기로 함,? 그게 왜 썸녀,fmkorea
datecourse,석촌호수 간 사람 있음?,사람 개많음,fmkorea
talk,님들 연애는 어떻게 함?,연애가 뭐였더라?,fmkorea
datecourse,좋아하는 친구가 시흥에 사는데 서울에서 보기로 했어요,경기 시흥이여?,fmkorea
talk,목욕마려워서 혼자 모캉스간다,목욕탕 가고 싶다,fmkorea
talk,연애는 경험이라는 거 이제야 이해됨,그렇게 지나갈수록 점점 레벨업되는것,fmkorea
talk,새로운 걸 시도하는게 겁나네요,눈 딱감고 작은것부터 시작해보시죠!,fmkorea
talk,그때가 끝이었음을 왜 몰랐을까?,앞으로 행복하실 일만 있을거에요!!:D,fmkorea
talk,나도 연인 자랑하고싶은데 자랑할게 없네,2d여친은?,fmkorea
talk,요즘 클럽 다닐수있음 ?,네 요즘 오후 3시나 4시부터 열어서 11시까지함,fmkorea
talk,님들 방에서 맨몸운동 해보시면 기분 좋아요,추워요,fmkorea
talk,예쁘다는데 안 믿는 여친,너 그 반응 보고싶어서 그런거 아니냐 ㅋㅋ,fmkorea
datecourse,인천바다쪽에 데이트코스 어디가 좋을까요?,대부도나 강화도는 어떰,fmkorea
question,첫소개팅 커피만,식사는 하는게 어때?,fmkorea
talk,연애가 무슨 계약인가,최종계약 축하드립니다,fmkorea
talk,아니 지금 대전 눈보라 오짐,서울도 지금 오짐,fmkorea
talk,교복 너무 좋은거같아,님도 교복 입어봐요,fmkorea
question,남녀 30초반일때 연애시 결혼 생각하는 비중 어느정도라고 생각함?,여 상  남 중,fmkorea
talk,확실히 연인간에 대화가 진짜 중요한듯,너무 맞는말이네요,fmkorea
question,불꽃축제 보일만한 호텔 있으려나요,없다고봄 지금은,fmkorea
talk,세상엔 나쁜여자도 참 많아,그래도 걸러서 다행이다라고 생각하자 ㅠ 맛난거 먹어,fmkorea
datecourse,집순이인데 데이트는 어케 하나요,집에서,fmkorea
talk,"코로나 걸렸는데, 애인이 키스하자고 한다",하고 같이 쉼,fmkorea
talk,난 연애한번 못해봄,나도 자꾸 부모님이 만나는 사람 없녜,fmkorea
