tag,Q,A,src
breakup,내가 세컨이었더라 정신차리게 해줘,걍 대체제였을 뿐이야  정신차려,instiz
love,다들 살면서 대시 받은거랑 대시 한거 비율이 얼마나 돼?,5:05,instiz
love,주변에 은근히 많은 남자 여자 조합,난 본적 없는뎅,instiz
love,너희는 전애인이랑 헤어졌는데 전애인이 사친한테 받은 명품 선물 톡에 자랑하면 어떨 것 같아?,정떨어지지 차단박을듯,instiz
love,애인 어머님이 클스마스 선물로 머플러 사주셨다,사실상 한우가 제일 좋긴해 근데 이렇게 잘 챙겨주시는분들 보면 센스가 좋으시더라고 그래서 뭐 장갑이라든지 털모자 아니면 따뜻한 수면양말세트라던지 이런것도 좋음,instiz
couple,애인 답장 미적미적 한날은 연락 어떻게해?,왜그러냐고 물어봄,instiz
love,난 후폭풍이 너무 신기해,나도 선폭풍만 있고 후폭풍은 없어서 후폭풍 좀 신기해ㅋㅋㅋㅋ,instiz
love,얘들아 소개받은 분하고 처음 만나면 보통 뭘해 ?,카페 갔다가 밥이나 간단한 술 첫만남에 영화는 잘 안보는듯,instiz
love,좋아하는 이성 앞에서 모자쓰고 올 수 있어??,쓸수 있지,instiz
couple,애인 행동이 너무 스윗해뭘까 뭘까,그냥 그런 사람인 거겠지? 일단 즐겨,instiz
love,헤어질뻔했다가 간신히 붙잡은지 이틀째면 아직 전처럼 다정하길 바라면 안되는거지?,시간 지나면 돌아와,instiz
love,걍 나 손많이 안가서 좋아하는거 같아,왜 만나??,instiz
love,썸원 지금 안돼???,헐 나도 안돼,instiz
love,약속시간 늦는건 어케야대,안고쳐짐 나도 2년 만났는데 한 번도 일찍오는 거 본 적 없고 심지어 헤어지던 날도 늦었늠ㅋㅋㅋㅋ,instiz
love,찬사람입장에서 이별하고 전애인이 힘들어하는거,나도 힘듦 근데 다시 연락하게 되진 않더라,instiz
love,연애 시작하기 너무 힘드네,검증이라는게 신체나 경제적 스펙 말하는거야?,instiz
etc,애인보다 친구들이랑 노는게 더 재밌는 #청자#들 있어?,나도 그래!!! 애인도 좋고 헤어지고 싶진 않지만 친구들이랑 노는거랑 애인이랑 노는 재미는 다르잖아 당얀한 거라 생각해 좀더 취향에 맞는겅 좋아할구 잇는거니까,instiz
couple,선물 교환하자 했는데 선물 안주는걸로 이별 생각하는거 에바야??,지는 받앗는데?,instiz
couple,애인이 거짓말 한거 알면 대화해봐야겟지?,따져야지 속 편함,instiz
couple,내가 자존감이 너무 낮아서 큰일이야,이기적으로 살아 결혼하려면 결혼해,instiz
love,헤어지고 두달정도뒤에 차단한건 무슨 심리야?,깨끗하게 정리된 경우?,instiz
love,사친이 애인 생겼으면 인스타 스토리 답장하면 안되겠지?,"나도 연락 안 하다가 친구가 한 번 안부 연락, DM 답장 하길래 나도 적당한 선에서 가~~끔 선 안 넘는선에서 연락했어!",instiz
love,같이 뮤지컬 보러 가자 하는 정도면 썸 맞지,친구일수도 있음,instiz
love,애인이 붙잡으면 어떡하지,나도 그래서 고민중이야ㅠㅠ,instiz
love,바람 유전자는 모르겠고 정신적으로 아픈 사람이 핌,헉 난 반대로 자존감 엄청낮은 사람들이 그러는줄 내가 겪은 바람핀 애들은 그랬어 ㅋ,instiz
love,나보다 4~5살많아도 또래라고해??,앞자리 같으면 20살과 29살이 또래니? 오예,instiz
love,ENTP들 헤어지고나서 연락하는 심리 궁금해,보고싶어서 충동적으로 연락했을거같음 내가 찬거라 이러면 안되는거 구질구질한거 머리론 아는데 손으로 쓰고있음,instiz
love,갑자기 애인이랑 그만하고싶어,권태긴가,instiz
breakup,헤어졌는데 연락하고 질척이는거 진짜 별로다,#화자#가?ㅋㅋㅋ,instiz
love,어제 술 먹고 뻗은 애인 집 찾아간다 VS 기다린다,찾아가,instiz
love,인팁들아 호감가는 사람이 매일 먼저 연락해주면 어때?,좋아서 답장 빨리해,instiz
love,독일사람이랑 썸 타는 중인데 너무 스윗해 ㅜㅜ,하나하나 클릭해서 답장하는거 진짜 쏘스윗이네,instiz
love,8살 차이 어때?,개많이나,instiz
breakup,사귄 건 6개월도 안되는데 3개월 넘게 못 잊고 있다 ㅋㅋㅋ,ㅋㅋㅋㅋ나도 4개월 넘었는데 아직도ㅠㅠ,instiz
love,애인이 꾸며주는거 기분나쁨? 괜찮아?,강요가아니고 권유정돈 괜찮지않을까,instiz
couple,남자 직장인 생일선물,메종키츠네?,instiz
love,5개월째 못 잊는 중,한 달만 버티면 괜찮아지더라 나도 여섯달 째 되는 날 괜찮아졌어,instiz
couple,키 크고 운동하는 애인 좋다,나는 농구했던 사람 만났어 대학교까지 ,instiz
love,알바 사장님을 짝사랑 중이야ㅜㅜ,몇 살인데 사장이랑 동갑이야?,instiz
love,아침인사 안하는 애인 있어??,나도 남친이 나보다 늦게 일어나면 아침에 일부러 카톡 안하는디 깰까봐,instiz
breakup,개 짜증나 차임,#화자# ㅋㅋ어지간히도 화났나보당,instiz
love,나 애인한테 너무 부담 줬나? 상의 색 검정색 맞추면 좋겠다고 그랬어,엥 이정도도 말 못하는 경운 첨 봐 부담 아닌데,instiz
etc,어플에서 첫만남 전에 폰에 불나게 카톡해?,어제랑 오늘 오후에 카톡 짱 많이 했는데 갑자기 대화 뚝 끊겨서 머쓱함,instiz
breakup,내가 사준 옷을 입고 자꾸 인스타 사진을 올려,생각은 나도 그냥 맘에 들어서 입는거라고 하더라,instiz
love,난 남녀사이 친구 절대 없다고 생각함ㅋㅋㅋㅋㅋ,나도 ㅋㅋㅋㅋㅋㅋ 솔직히 조금이라도 마음 있는거같음,instiz
love,전애인 너무 좋아했어도 얘보다 키크고 잘생긴애 만나면 바로 잊음?,노노 바로 잊지는 못해,instiz
breakup,크리스마스 전까지 헤어지려고,왜 헤어지려고 하는데?,instiz
love,남자 머플러 브랜드 어디가 좋아??,아크네?,instiz
love,내가 힘들어도 못 끊어내는게 진짜 바보같음ㅋㅋㅋㅋ,ㅁㅈ 결국 난 끊어냈지만 오래걸렸다,instiz
love,연애상대로 ESFP 어때 ?????,전에 잠깐 썸? 비슷한 거 탄 적 있는데 너무 기빨려 귀엽고 다 좋은데내 체력 가져가서 연료로 쓰는 것 같음 참고로 나 잇프피,instiz
breakup,부재중 전화 뭔뜻이지???,일단 카톡이나 문자로 왜 전화했냐고 물어봐,instiz
love,애인이랑 있었는데 주말에 회사 동료 전화가 왔다?,왜왔어?,instiz
couple,다른 부분 다 괜찮은데 사람이 너무 무심하고 자기자신이 너무 우선인 사람하고 결혼 괜찮다 생각해?,외로움,instiz
breakup,애인 사이에 서운한게 있으면 서로 얘기하고 푸는거 아니야?,걍 마음 식은거,instiz
couple,아니가끔 얼핏 봤을 때 애인 너무 잘생겨서 좀 놀람,부럽 내 전애인은 볼때마다 흠칫햇는디,instiz
love,호감이었던 썸남 너무 적극적이라 부담돼서 썸붕내는거 오바야?,말했는데도 속도가 안맞는거면 썸붕낼 수밖에 없지 않나,instiz
couple,31일에 데이트하는 #청자#들 뭐할 예정이야?,집에서 떡국해먹겡!,instiz
breakup,바쁘게 열심히 살면 괜찮아지겠지?,나는 그렇게 살고 있는데 그래도 좀 옅어지더라,instiz
couple,애인이 전화 안받고 아무말도 안할떄 이해해?,바쁜가 보다? 중요한 자린가 보다?,instiz
couple,애인 나한테 화나서 연락 제대로 안하는데 뭐라 해도돼?,애인은 화 왜났는데,instiz
love,무던한 사람끼리의 조합은 왜 잘 안보이지,둔한사람 둘이 있으면 재미없기 때문,instiz
breakup,첫 눈 오빠랑 같이 보고싶었는뎁,나도 첫 눈 같이 보고 싶었는데   흑,instiz
love,애인이 우리 동네를 후진 동네라고 표현했어,평소에 너를 그렇게 생각했나봐 손절해,instiz
couple,다들 요즘 무슨 데이트해?,원데이클래스 같이 듣기!,instiz
couple,장거리 커플들 매일 전화 해?,1300일 정도 됐고 매일 함,instiz
love,애인이 단둘이 밥먹는데 핸드폰하는거 괜찮아?,응응 그건 괜찮아,instiz
love,헤어져줘서 땡큐해,고마워 잘지내,instiz
love,20대 초반 #청자#들 애인한테 생일선물 뭐받음?,애플워치!!,instiz
love,남자 여자 둘 다 첫 연애면 주로 오래 가?,못갔음 난 둘다 서툴러서,instiz
love,연애 7일차인데 너무 외롭다,그렇게 바쁜데 연애 시작은 어케 한겨,instiz
love,보통 소개팅하고 몇 번째 만남에 사귀어??,삼프터가 국룰이긴한데 맘에 들면 그 전도 후도 상관없지,instiz
etc,여자분들은 짝사랑 하는 남자 내껄로 못 만들거 같으면 어찌 하시나요??,그녀를 백겟섬니다운~,instiz
love,남자가 돈 못 쓰게하는건 왜 그러는거야??,일하는 사이에 한살 많고 직원이면 그냥 사회생활,instiz
love,애인 연말연초부터 코로나 걸려서 못본지 5일째,헉 작년에 보고 못본거네 ㅠ,instiz
love,애인 사람한테 돈 쉽게 빌려주는데 난 신경 안써도 되겠지?,결혼할거 아님 걍 둬 내 돈 아닌데 뭐,instiz
love,다들 애인이랑 12시부터 12시까지 12시간 동안 보는거 가능해??,ㅇㅇ집에서 보는건 가능 밖은 좀 힘듬,instiz
etc,연락 패턴 안맞으면 그냥 안사겨야하는듯,ㅇㅈ 지금 나야 완전,instiz
love,초반에 쌔할때 그만만날걸 후회된다ㅋㅋㅋㅋㅋ,어머 제 미래군요 전 여기서 손 놓겠습니다,instiz
love,다들 애인 어디서 만났어?,회사!,instiz
love,애인한테 편지쓸 때 #청자#들은 할말 많아??,나도 할말 없어서 편지지 안사고 엽서같은거 삼ㅋㅋㅋㅋㅋㅋㅋ 만나면 말로 하는데 글로 쓰기가 어려워,instiz
couple,나!!!!!오늘!!!!!한달만에 본다!!!!!!!!!,해피타임,instiz
couple,서운한거나 힘든거 얘기 안하는게 왜 서운한건지 모르겠어,이 글에 쓴거 그대로 말해줘 그래도 이해못하는거면 버려야지ㅜㅜ,instiz
love,너네 솔직히 모든 애인 결혼 전제로 만나?,ㄴㄴㄴ 27-8이나 되면 결혼 생각 어느정도 하고 만날 듯,instiz
love,ISFP랑 ESTP어때 ?!?!? ,난안맞았지만 #화자#는 잘 맞을수도,instiz
love,좋아하는데 희망고문이 고통스러워서 연락 하기 싫은거 알아?,난 그래서 안 될 사랑은 걍 내가 먼저 끊었어ㅎㅎ,instiz
love,전애인 MBTI 다 아는거 개신기함,ㅋㅋㅋㅋㅋㅋㅋㅋ 아니 나도  23년전쯤부타 확 유행한거같은데 정작 그때 만난 애는 뭔지 모름 지금 애인은 알지만,instiz
breakup,5년만난 전애인 새연애 시작했네,헤어지면 남이야 너가 미련남는다고 걔도 그래야할 필요는 없잖아,instiz
love,누가봐도 짱예 냅두고 평범한테 들이대는 건,예쁜 언니는 어캐생겼어??,instiz
love,이성 다루는 스킬 부족하면 어떻게해?,겪어보는 수밖에 없다고 나는 생각혀 시행착오로 완성된다,instiz
love,애인이 부모님 드리라고 설 선물 줬는데 나도 준비해야하나??,결혼할 사이 아니면 나라면 안 할거같아 앞으로 계속 챙겨야할거같아서 ?,instiz
love,애인이 덕질을 합니다,헉 좀 위험해보이는데,instiz
love,애인이 20대 초반에 클럽 많이다녔다는데 어쩌지,클럽가는게 과거사까지 될 일은 아닌데,instiz
love,전애인이랑 아직도 교류하는 썸남 썸붕 내?,난 썸붕냄,instiz
love,나보다 이쁘냐 이런 건 묻는 사람이 못생겨서 묻는거야?,나 는 서비스차원에서 가끔 해주는디 내가 질투하는것처럼 물어보면 애인이 기분 좋아하더라고 껄껄ㅎㅅㅎ,instiz
breakup,헤어지고 한달 지나서 어떻게 지내나 궁금했다고 연락하는거,미련임,instiz
oneside,처음 좋아하는 거 티 낼 때 어떻게 할까,어디서 만난사람? 회사? 대학? 소모임?,instiz
love,혹시 전애인들한테 몇년 후 연락한 #청자# 있어???,하지뫄,instiz
love,애인이 나한테 정떨어져가는거 같을 때,나도 그런 상황인데 자존심 세서 똑같이 행동하고있음 곧 헤어질듯?,instiz
flirt,썸남이랑 썸남 친구 랑 나랑 3각 관게 된것같아,동물의 왕국이야?,instiz
love,사랑은 하는데 상대가 나한테 바라는게 부담스러울때,넌 네가 사랑받는 연애를 할 필요가 있어보임,instiz
love,남자들 집에서 폰 잘 안봐?,나도 집 오면 잘 안 보긴해,instiz
couple,#(남자)화자#인데 22살 애인 생일선물 추천좀 해주세용,좋아요~ 겨울이니까 아크네 머플러나 폴로 가디건도 좋을 듯 무난템,instiz
breakup,구애인 나 왜 받아줬던걸까,기대햇을지도,instiz
love,결혼할 사람 만나고 싶다,나도 나는 이제 20대 극후반이고 작년에 결혼 이야기 하던 애인이랑 헤어져서ㅠㅠ 이제 오래 내 옆에 있어줄 사람 만나고싶다ㅜㅠ,instiz
breakup,이별 5개월차면 지금 2023년 첫날이라도 내 생각 안 하겠지?,생각할듯,instiz
love,고백했던받았던 시간대랑 장소 얘기해보자,저녁에 바닷가에서 받음,instiz
love,진짜 집에 누나 두명있는 남자는 애같고 그래?,ㄴㄴ 애 같진 않던데,instiz
love,애인 보고싶다,나도!!!!!!ㅠㅠㅠㅠ,instiz
love,롱디여서 별로 못 만나도 연락을 진짜 자주했어서 별 문제 없었는데 연락도 적어지니까,별로 못만나는데 연락까지 별로 안하면 소홀해진다 ㅠ,instiz
love,첫사랑이랑 헤어져야 하는걸 아는데 못 헤어지겠어ㅠㅠ 조언해주라,나도 그런 상태였는데 헤어져봐야 아는 것들이 있다고 하더라,instiz
breakup,연락 올 것 같은 느낌 대체 어떻게 버려?,아 난줄 ㅋㅋㅋㅋ,instiz
love,애인이랑 각자 사주 보러 같이 가는거 어떨까?,난 같이했는데 재밌었어 ㅋㅋ,instiz
breakup,오늘도 보고싶다!,나도 보고싶어,instiz
etc,짝남이 몇시간 동안 안읽씹하면 망한걸까?,40분이면 기다려,instiz
love,짝남아 나 미술관티켓 생겨따,모른척 티켓 생겼는데 같이 갈 구함! 해바,instiz
oneside,한 살 오빠를 짝사랑하게 됐어ㅠ 조언좀,"모르는 문제 물어봐,",instiz
love,다들 솔로 몇년차야?,2주 ^^,instiz
love,근데 22 28살 어때?? 너무 나이 차이 많이나나??,"굳이긴 함 왜냐면 나이있는 사람들 만났을때 그 사람들이 데이트 비용 다 부담하고 차 있고 그러면 너무 편해서 못돌아가겠거든 ,,",instiz
love,혹시 일본인 남자 만나본 사람 있어?,데이트피싱일수도 있음 조심해,instiz
breakup,스토리라도 올려봐,난 오늘 올리더라 ㅎㅎ,instiz
breakup,미치겠넹 나 싫다고 떠난 사람 두달째 못잊는중,그래도 계속 소개 받다보면 언젠가 잊고 새연애즁,instiz
love,다들 그 사람이 너무 좋아서 갑자기 이유를 까먹을때 있어?,난 그 반대 좋은 건 그냥 다 좋은데 어느 순간 한 포인트가 싫어서 싫어지면 계속 싫고,instiz
love,퇴근 후에 동료들이랑 정기적으로 혼성소규모 모임 만드는 거 이해 가능?,매우매우 신경쓰이고 질투도 나는데 그렇다고 못하게할수는 없어서 보내줄 듯,instiz
love,이별할 때 악수하자는 건 무슨 마음일까?,할 말 없어서 나온 말 아녀? 악수 하자는 게 웃긴데,instiz
love,잘생기고 돈많고 성격좋아도 39살이면 안만날래?,아저씨 안만나여,instiz
love,남자가 이번에 졸업하는 취준생이면 좋아하는 사람 있어도 연애 시작하기 망설여질까?,ㄴㄴ 그 시기에 연애 잘만함,instiz
love,"지금 핫한 어그로 소재: 월드컵, 조규성",#화자# 규성씨 사랑하구나,instiz
love,다들 크리스마스 선물로 뭐받고싶어??,명품 속옷세트,instiz
love,차이고 잡으면 절대 연락 올 일 없어? 보통 안 잡아야 나중에 연락 온다잖아,그런거랑 상관없이 올 사람은 오고 안 올 사람은 안오고,instiz
breakup,인과응보는 없는듯,잘사겨도 끼리끼리 아니겠음,instiz
love,찝찝한거 서운한거 얘기 해야겠지?,웅 말해,instiz
love,100일 선물 추천 부탁해 ㅠㅠ 후보 있음 !,다른 후보는 없어?,instiz
breakup,안읽씹 하다가 3일뒤에 보는건 뭐야,그냥 무시하는거지 뭐,instiz
breakup,물건 준다고 연락하는건 핑계인가?,그럴수도있어,instiz
oneside,하 읽씹 당했다,뭐라고보냈엇오,instiz
love,식은것 같은데 헤어지잔 말을 안해,돈은 다 받고 헤어지자,instiz
couple,하나씩 포기하다가 헤어지는거 ㄹㅇ 인듯,마즘 내가 어떤노력을 해도 바뀌지않을꺼라는걸 알게될때 헤어지게 되는듯,instiz
breakup,내가 연애다운 연애를 하고 헤어진 게 처음이라 내가 무슨 상태인지 모르겠어,얼마나 길게 만났어?,instiz
couple,본인한테도 돈 안쓰는 사람이면 괜찮아?,아니 저렇게 사는 사람 못만남 돈도 써본 사람이 쓰지,instiz
flirt,썸타다 잠수당하거나 타본 #청자# 있어?,상대가 어장치는거같아서 그래서 그냥 잠수탐,instiz
love,나도 내 취향이랑 연애해보고싶어,취향이 어떤 데여??,instiz
couple,공부한다고 못 만났는데 ㅋㅋ,애인 입장에서 서운한 거 머리로 이해되긴 한데 친구랑 애인은 좀 다르다고 생각해서,instiz
couple,친구랑 지내는 시간을 더 좋아하는 것 같은 건,난 맘 식으면 그랬는데,instiz
love,팔 한 쪽 전체 문신,난 절대 ㄴ,instiz
love,애인이 나몰래 클럽다니고 여자들 가지고 놀았다,병원부터 가고 최대한 빨리 헤어지는게 답 #화자#가 원하는 제대로 된 정신 계속 만나는 한 못 만듦,instiz
couple,단답만 하는 애인 어떻게해야할까,똑같이 단답 아니면 안읽씹,instiz
breakup,헤어진지 2주차에 언팔 당했다,하려고 노력중이거나 했거나,instiz
love,진짜 연애고민하게 만드는 남자 만나는거아니다,뭐여 왜 안만나지,instiz
couple,애인이 날 계속 사랑하는것은 같은데 좀 업다운 심해,ㅇㅇ 냅둬 알아서 오를겨,instiz
love,진짜 좋아해도 차였을때 안 붙잡을 수 있어?,걔 마음은 거기까지니까 날 찼겠지,instiz
love,애인이 나보고 넌 인싸는 아니지 라고 햇는데 왜케 속상허냐,엥 짐짜 싫어 말을 왜 그렇게해,instiz
love,시험 끝나고 오랜만에 짝남한테 연락왔는데 기분 이상하다,먼저 카톡해 그정도면,instiz
breakup,연락해도 절대 안 받아주겠지??,하지마 ㅜ,instiz
couple,좋아해주는 사람 만나는게 짱인듯,난 나 좋아해주는 사람 만나면 내가 더 좋아해져서 문제,instiz
breakup,친구로 지내기로 했는데 어떻게 하는게 더 마음정리 빨리 될 것 같아?,헤어졌는데 친구가 가능한가??,instiz
love,여자가 숏컷하는 거 좋아하는 남자는 별로 없나??,별로없던데 ,instiz
love,연애초기인데 자취방 놀러오래,글쎄 그냥 가지를 마,instiz
breakup,이젠 정말 잊어볼까 해,얼마나 기다린겨,instiz
flirt,주변에서 다 나한테 썸남이 좋은사람이 아니라고 말리는데 그만 두는게 맞는건가?,끊은 거 잘했어,instiz
love,잇티제가 다시 연락오면 뭐야??,나 잇티제 읽씹에 크게 의미를 안둠,instiz
couple,잇티제 애인 너무 좋아,#화자#는 엠비티아이머야? 나 엔프피고 애인 잇제인데 겁나 안맞거든ㅎ,instiz
love,비흡연자인데 흡연자 애인 있는 #청자# 있어?,안펴 데이트할땡,instiz
love,소개팅 때문에 코 수술 하는거 오버인가?,6개월동안 코뚱뚱이일텐데 ㄱㅊ?,instiz
love,애인 후드티 브랜드 추천 좀!,피어오브갓 에센셜,instiz
love,하 진짜 안 싸울 순 없는거야?,만난지 1년 이하야? 그땐 진짜 많이 싸웠던듯,instiz
flirt,능글거리는사람 좋아하는데 찐 만나니까 당황만 하네,와 나 같으면 심장떨려서 아무 말도 못할 듯,instiz
love,정말 오랜만에 좋아하는 사람이 생겼다,드라마 대사야?,instiz
breakup,역시 사랑의 감정은 엄청남!!!,ㅇㅇ 항상 마음 한켠에 자리잡음 개열받음ㅠㅠ,instiz
love,"확실히 잇팁이 연애 시작하기까지가 힘들긴 한가보오,,,",ㅠㅠ너무 헷갈려 호감이었어도 이러다 지쳐서 식을까 걱정되는데확실한 호감 표현 뭐 없을까? 그리고 혹시 #화자#는 썸 얼마나 탔는지 물어봐도 될까?,instiz
couple,각자 집일때 연락텀 어떻게 돼?,나두 다른사람들 궁금하다 우린 늦어도 20분은 안넘기구 평균은 5~15분 사이?,instiz
love,신뢰가없는 장거리연애중인데 어떻게해야돼,이미 끝난 관계인 거 같은데,instiz
love,남 INTP 여 INFJ 어떨 것 같아,여자가 남자 너무 무심하다고 느껴서 서운해할일 많을수도,instiz
love,이성에게 매력어필못하는건 무미건조함이 크다는데 맞말이야?,그런 듯 무미건조한 사람도 좋아하는 사람 앞에선 반응 잘하고 말도 이어가려고 하니까,instiz
love,단체로만 보는 사이 어케 꼬셔 ㅠ,따로 만나자고 해봐,instiz
love,1년 안되는 연애만 한 거면 단기 연애만 한거야?,내 기준 짧음,instiz
love,나 첫연애인데 데이트비용 어떻게 해야돼?,너가 여유잇는 만큼 최대한 쓰면 상대도 최대한 쓸거임,instiz
couple,크리스마스 선물 챙겨??,우린 안챙기고 케이크나 머글듯,instiz
breakup,진짜로 시간 지나면 잊혀져? 경험담 좀 들려줘,응 잊혀져 드문드문 생각나긴 한데 이건 어쩔 수 없다 ㅎㅎ,instiz
love,혹시 지하철이나 카페에서 눈 3번마주치면 서로 관심있는거야?,그냥 타이밍 좋아서 눈 마주치는 거 아님?,instiz
love,나 현애인 꼬실 때 완전 앙큼 뽁스였네ㅎㅎㅋㅋㅋㅋㅌ,ㅋㅋㅋㅋㅋㅋㅋㅋ 머 어떻게 했었는뎅?? 앙큼폭씨걸~~,instiz
love,사귄지 한달도 안됐고 애인이 곧 첫출근하거든?,넥타이?,instiz
couple,진짜 바쁘거나 사정있으면 한 주 정돈 못볼수도 있는거 아니야?,한주 이해가능,instiz
love,1년 만나면서 꽃한번도 못받아봄,"꽃에 돈쓰기 아까워하는 사람들이 많아서, 꼭 얘기해야 받을 확률이 크다",instiz
breakup,이별후에 친구로 지내는 경우,양쪽이 동의할때,instiz
couple,연애초기보다 갈수록 더 럽스타에 집착하는 이유 뭘까?,더더 좋아지나봐,instiz
love,너무 다 맞춰주고 주관 없는 남자는 매력 없더라,다음엔 맞춰줘야하는 남자 만나보삼,instiz
oneside,내 카톡은 안보면서 다른사람 연락은 칼답하는 심리,맞아 관리당하는거,instiz
couple,애인있는데 이성이랑 술먹으면 안되나??,굳이 술을 왜?,instiz
love,소개는 보통 비슷하게 해주는 게 맞겠지?,소개 받는 남자가 조건을 볼지 안볼지 어케 알겠어 소개 받아보고 자기가 판단하지않을까,instiz
breakup,이번달까지 기다려 보려고 하는데 불안하다,헤어진지 얼마나 됐엉,instiz
etc,인간관계  어떻게 될지 모른다는 말 믿어?,나이들고 자연스럽게 인간관계 정리되는 시기가 오는데 그 시기 겪고나서 믿게됐오,instiz
love,#(여자)청자#들아 연하랑 사귀면 좋은점 말하고 가주라 있을까?,챙겨주고싶다해야하나?,instiz
love,뭐하냐고 문자오면 호감표시야?,와 나 방금 뭐하냐고 물어보고 와서 진짜 놀랬네,instiz
