tag,Q,A,src
breakup,여친이랑 헤어졌읍니다,수고많았어요 ㅠㅠ 그래도 다 풀건 풀어서 다행이네요,fmkorea
breakup,헤어졌는데 만나주는건뭔가요,님도 마음있으시면 먼저 확 한번 잡아보시는게,fmkorea
breakup,헤어졌다,잘했다,fmkorea
breakup,헤어진 여자친구 잡고 싶은데,헤어질때 어떤상황이였는지에 따라 다르겠네요,fmkorea
breakup,헤어짐,이별이 무덤덤해지는 순간 아잰데 아직 청춘이시구먼?,fmkorea
breakup,헤어진 지 3년 지났지만 아직 생각남,서로 연락 한 번 없이 지낸 건가요? 다들 한 번쯤은 온다는거 같아서요 ㅎㅎ,fmkorea
breakup,3년 사귀고 오늘 헤어졌습니다,우허허,fmkorea
breakup,어제 1년1개월 연애끝에 헤어지고,힘내요!! 인연이라면 꼭 다시 만날거에요,fmkorea
breakup,연락하고 보는건 보는데 사귀는건 시간갖자는건뭐냐,자기마음에준비가안된게아닐까,fmkorea
breakup,군대 첫휴가나와서 헤어졌습니다,저는 전역 23일 남기고 헤어지자고 함 근데 알고 보니까 환승이별 한거였음 위로가 될진 모르겠지만 헤어진지 지금 한 달 넘어가는데 괜찮아짐 시간이 약이란 말이 괜히 있는게 아녀유,fmkorea
breakup,이별은 진짜 다른 사랑이 답이네요,사랑이 다른 사랑으로 잊혀지네~,fmkorea
breakup,헤어지고 너무 공허해요!,니가 헤어지자하고 그럼 안돼~!,fmkorea
breakup,헤어졌습니다불매운동했습니다,이건 좀 무섭다 ㄷㄷ,fmkorea
breakup,깨지고 나서 많이 힘드네,난 어플에서 만나서 잘 사귀고 있음 ㅇㅇ 너도 어플써봐 괜찮더라,fmkorea
breakup,미쳐가지고 전여친한테 카톡했다,슬프네요,fmkorea
breakup,살면서 처음으로,"장거리 연애, 만남이 적은 연애는 ㄹㅇ힘들어",fmkorea
breakup,ㅎㅎㅎ 헤어졌어요,좋은 경험이었기를,fmkorea
breakup,전애인 꿈에 나오는 거 지겹네 여러분들은 언제까지 나타나셨나요 ㅋㅋ,첫사랑이 아직꿈에나옴,fmkorea
breakup,이별할 것 같아요,힘내세요 저도 일주일전에 헤어졌는데 아직도 많이 생각나네요 정리 잘하시고 헤어짐도 사랑의 일부라 생각하면 좋을 것 같아요 시간이 지나면 더 행복해져요 우리,fmkorea
breakup,환승한 전여친 깨졌다,더 힘들어도 이젠 님이 신경쓰시면 안됨,fmkorea
breakup,2년 사귄 여자친구랑 해어졌네요,여자의 이별은 모두 정리하고 말하는경우가많아요,fmkorea
breakup,여자친구와 나와 이별을 하게된 가장 큰 이유,취미로 치부하기엔 굉장했네,fmkorea
breakup,둘이갔다 혼자옵니다,사람은바꿀수있는게아니에요 노력해봐도 안되는건안됩니다 잘하셨어요,fmkorea
breakup,처음으로 이별했습니다,힘내세요,fmkorea
breakup,5년의 끝 가슴이 턱막힌다,예 시간이 다 해결 되더라구요,fmkorea
breakup,헤어진뒤2주 전여친 연락왔네요,깨끗이 정리,fmkorea
breakup,이별한지 한달째,화이팅!,fmkorea
breakup,이별 후유증 어떻게 극복해야합니까,일단 씻고 밖에 한발자국이라도 내딛으면 반은 성공임,fmkorea
breakup,드디어 이별 극복하러 갑니다,멋지십니다,fmkorea
breakup,ㄹㅇ 7년연애 이별한지 6개월됐는데,뭐땀에 헤어짐,fmkorea
breakup,헤어진지 한달 후 연락 뭐라고 하나요,잘지내? 라고 한달 후에 보냈다가 개같이 까인적이 있습니다 서로 감정싸움으로 번지고 헬피엔딩,fmkorea
breakup,헤어졌다,잘했네요,fmkorea
breakup,4년 연애 끝,결혼상대가 아닌 이유가??,fmkorea
breakup,이쯤이면 니 마음 확인한 것 같다,진정으로 사랑하면 헷갈리게 하지 않겠지?,fmkorea
breakup,힘들어 하던 여자친구가 결국 헤어지자고 했습니다,할만큼 하신겁니다 자책하지마세요,fmkorea
breakup,나는 뭐였을까,이해가 안되는 만큼 분명 너가 성숙해질꺼야,fmkorea
breakup,어떻게 해야 붙잡을 수 있을까요,못잡아요,fmkorea
breakup,완전히 정리햇서요,시간이 약 입니다 화이팅 !,fmkorea
breakup,헤어졌습니다 ㅋㅋㅋㅠㅠㅠ,그냥 그만큼 님을 안조아한거네요얼렁 넘기고 더 좋은 딴여자 만납시다,fmkorea
breakup,이젠 진짜 헤어짐인가봄,왜때려 ㅠ,fmkorea
breakup,일년 반 연애 후 여자친구의 권태기로 인해 이별,가능성 별로 없어보여요 ㅠㅠ 시간이 약,fmkorea
breakup,헤어졌다,힘내요,fmkorea
breakup,이별했다,힘내라 둘 다 좋은 사람만나길,fmkorea
breakup,헤어진지도 벌써 반 년이 넘었네요,괜히 시간이 약이라는 말이 있는게 아니더라고요 힘든 당사자는 그때는 이해안가겠지만,fmkorea
breakup,환승연애하지마라 언젠간 돌아온다,어떻게 환승하셨어요?,fmkorea
breakup,헤어진 여자친구에게 보낸 편지,적절한 가명 사용,fmkorea
breakup,헤어졌다,너 충분히 좋은 사람임,fmkorea
breakup,정말 끝인걸까요,"그녀는 이제 그만하자고, 무섭다고 보내며 이렇게 끝났습니다 이 얘기나온거면 그만하시는게",fmkorea
breakup,헤어졌습니다,토닥토닥,fmkorea
breakup,해어졌다,더좋은사람을 만날 빌드업이었다 ㅎㅇㅌ,fmkorea
breakup,전 여친이 남친이 생겨야 단념이 되고,그렇게 해도 인연이면 재회할 사람들은 하더라구요,fmkorea
breakup,첫 연애 한달만에 이별했습니다,아이고 몸이 멀어지니까 마음이 소원해졌나보네,fmkorea
breakup,"3년 연애, 이별했습니다",가장 큰 이유가 뭔데요??,fmkorea
breakup,이별한지 약 10일정도 지낫습니다,참고로 저와 연애할때는 같이게임 별로안했어요 과제가 많다고 근데 새계정 보니 하루에 5판~8판은 하더라구요,fmkorea
breakup,헤어지고 오는 길입니다,고생했어요!,fmkorea
breakup,오랜만에 이별의 감정을 느끼네요,안 놀릴건데요? 수고하셨어요,fmkorea
breakup,헤어진지 세달 넘었는데 아직 힘드네 ;;;,마음 다정리되도 본의치않게 보게되는 흔적하나에 가슴찢어진다빨리 다 지워,fmkorea
breakup,전 여친이 다시 만나자고 하는거 거절함,헤어진 이유가 뭐임?,fmkorea
breakup,물건 어떡해야 할까요,그냥 받으세요,fmkorea
breakup,4년 사귀고 헤어졌는데,저도3년 지금한달째인데 별짓다해도 가능성0 이젠스스로포기ㅋ 전 스스로 진짜 누군가에게 잘할자신있을때까지 연애안할라구여,fmkorea
breakup,반년 만난 여자친구랑 어제 새벽에 헤어졌네요,상황이 그랬어서 더 아쉬울지도,fmkorea
breakup,전여친한테 톡보냈는데 방금 읽었다,응 안잡혀,fmkorea
breakup,해어진지 7일,날짜 세지마ㅜ,fmkorea
breakup,헤어진지 한달하고도 보름입니다,ㅠㅠㅠ,fmkorea
breakup,재회 후 또 헤어짐,"고생하셨숩니다,, 저도 1년 전에 그렇게 헤어졌는데 왜 많은 분들이 재회 하지 말라고 한지 알게 된 경험이었어요 참 많이 달라서 지치는 경험이었어요",fmkorea
breakup,헤어졌습니다 3년 연애의 끝,고생하셨어요,fmkorea
breakup,2주 만에 헤어졌네요 ㅋㅋ,친구사이에서 연인되는 경우는 보통 여자쪽에서 끝내는 경우가 많더라 여자들은 확실히 친구랑 친구이상의 연인감정을 느끼는게 차이나나봐,fmkorea
breakup,비트윈 상대방이 연결 끊었다고 메일 오네,나도 걍 삭제만했는데 메일 날라오면 멍할듯 ㅋㅋ 끊었다는건 새로운 남친 생겼다는거니까,fmkorea
breakup,이런 적은 처음이라 미치겠네요,왜 헤어지자 하셨어유,fmkorea
breakup,머리로는 아는데 너무 힘들다,괜히 연락하면 더 안좋음 어떤 여자든 헤어질 때 냉정하고 차가움 님이 크게 잘못 한게 아니라면 나중에 연락 먼저 할 가능성 높음 괜히 계속 매달려서 정 떨어지게 하지 않으면,fmkorea
breakup,이별한지 한달쯤 됐는데,원래그런거니가 좀만 참아유,fmkorea
breakup,고민상담좀헤어진지 9개월만에 연락이 왔습니다,9개월동안 딴 남자 사귀다 헤어지고 니 생각 났나부다,fmkorea
breakup,3개월 만나고 헤어진지 이제 1년,미련이 남으면 연락해보시는걸 추천 결과야 어떻든 후련은 하실겁니다,fmkorea
breakup,헤어진지 2주 넘어가는데 공허함을 어떻게 이겨내야할지모르겠네,님이 헤어지자 한거고 그렇게 공허하고 힘들면 연락한번 해보면 되지않을까요,fmkorea
breakup,첫 이별 ㅎㅎ,사연은 모르지만 힘내시길,fmkorea
breakup,이별 21일차,으음 아름답게 마무리 하시죠 이제,fmkorea
breakup,와 차였다 ㅋㅋㅋ,내일부터 우실 예정입니다,fmkorea
breakup,전여친한테서 연락왔네ㅋㅋㅋ 무슨 생각인지,무슨생각이긴요 다시 만나려고 연락한거죠 ㅋㅋ,fmkorea
breakup,전화해볼까요?,하고 싶은말은 하는걸 추천함 안하고 후회하는 것보단 낫다고 봄,fmkorea
breakup,아직까지도 생각나는 이별 전 마지막말은,오빤 비전이 없어 능력도 없고,fmkorea
breakup,2년넘게 만났을때보다 짧게 만난게 왜 더 힘드냐,더많이 좋아했나보네요,fmkorea
breakup,크아악 미련 버리기 넘 어렵다,차단하던가 못하겠으면 sns자체를 그냥 삭제ㄱㄱ,fmkorea
breakup,"재회를 바라고 있네요 ,,",잊으십쇼,fmkorea
breakup,이별하고나서,음 저도 얼마전에 그래서 술을 좀 많이 마셨었는데 나에게 한짓을 생각하면 화가 납니다,fmkorea
breakup,정말 끝남,잘했어 고생했다,fmkorea
breakup,헤어지고 사진 다 지우시나요??,걍 가지고계셈 나중에가면후회함,fmkorea
breakup,헤어졌다,고생했다,fmkorea
breakup,헤어진지 벌써 한달이 되어가네요,지금처럼 하다보면 여자가 연락할수도,fmkorea
breakup,헤어졌습니다 미안한맘이 크네요,힘내시길,fmkorea
breakup,2년 1개월 사귀고 헤어졌습니다,수고했어요 100일 넘게 처음 사귀어본 연애가 2년 넘게 가다니 노력 많이 하셨네요 더 좋은 사람 만날 자격이 차고 넘칩니다,fmkorea
breakup,헤어졌습니다,사정상 결혼식 미루고 혼인신고 먼저하고 애 키우는 사람도 있긴하던데 좋은사람이면 한번 붙잡아보시죠,fmkorea
breakup,전여친한테 지금 당장이라도 쌍욕 꼬라박고 싶은데 참아야겠지,그래도 한때 사랑했던 사람인데 욕은 참아야지,fmkorea
breakup,전여친 흔적들 오늘 다 정리했습니다,전 후회하더라고요 카톡 기록 다 지웠는데 시간 지나고 나니 후회가 남던,fmkorea
breakup,헤어진 후 한 달 정도된 사람입니다!,파이팅 하셔용,fmkorea
breakup,헤어지고 사진정리어캄?,ㄴㄴ 나혼자나온건 냅둬,fmkorea
breakup,이별3일차,오래살자,fmkorea
breakup,전여친 생각만 하면 우울증심해지고 울컥하는데,시간과 새로운 사랑이 해결해주더라구요,fmkorea
breakup,저번달초에 헤어진 전여자친구가 연락와서 한번 보자고 하는데요,나쁘게 헤어진것도 아니고 만나는게 낫징않을까용,fmkorea
breakup,재회 시도중,계속 답장 없으면 가볍게 카톡 함 해봐 어제는 있잖아 이러면서 구구절절 보내지말구,fmkorea
breakup,생각보다 극복이 빠른거같음 왜그런지 생각해보니,할만한 노력다 하면 미련이 덜 남긴 하지,fmkorea
breakup,전 여친 연락와서 만나고 왔는데,잘 되시길 바랍니다! ㅎㅇㅌ,fmkorea
breakup,첫 연애 후유증이 너무 오래갑니다,지금 생각해보면 쓰레기 그것 또한 경험이져머,fmkorea
breakup,1주일전 헤어졌다가 다시만났는데 이제 끝이났습니다,고생하셨읍니다,fmkorea
breakup,3년 연애 후 갑작스런 이별 재회하고 싶습니다,"그냥 놓아주시고 다른 여자 찾아 떠납시다,",fmkorea
breakup,14년 사귄 여자친구 바람,14년이라니,fmkorea
breakup,방금 헤어졌습니다,그동안 수고했어,fmkorea
breakup,어제 만난지 2주만에 헤어졌습니다,"2주는뭐,,",fmkorea
breakup,아 이별극복하기 쉽지않네요,시간이 모든걸 해결해주지않지만 시간이 필요한 일은맞습니다,fmkorea
breakup,카톡이랑 인스타에서 찌질하고 싶다,그러라고 있는 공간임,fmkorea
breakup,이별후 운동 취미 자기계발이 잊는데 도움된다던데,나름 재밌던데,fmkorea
breakup,10개월만에 전 여친한테 톡이 왔는데 뭘까,"모르겠어요 그냥 님 마음가시는대로 하세요 한번 얼굴 보고싶으면 받으러가서 보는거고, 보기싫으면 됐다고하고 연락안하는거고",fmkorea
breakup,먼가 너무 공허하다,저도 미래에대한 생각이 너무 안맞아서 헤어졌는데 그냥 사귀고싶을때 까지 사귀세요 그렇게 2년을 사귀다보니 이제 놓아지더라고요 ㅋㅋ,fmkorea
breakup,헤어졌습니다,킹쩔수 없음 결혼전에 사랑스럽고 너무행복하고 너무 잘 맞아도 결혼하면 안맞는데 결혼전부터 나를힘들게한다?ㅃㅃ,fmkorea
breakup,코로나로 파혼 많나요?,"마음만 확실하면 결혼식만 미루고 신혼집에 먼저 들어가서 살다가 결혼식 올리더라구여,,",fmkorea
breakup,전화 한번만 해주라,나로 인해 너가 힘들었으면 좋겠어 죽을정도로,fmkorea
breakup,다 정리했다고 하는데 다시 생각해보자고 하는건 가능성 있는걸까,머때문에 헤어졋는데?,fmkorea
breakup,헤어진 애인에게 하고픈 말,부족해서 미안하다ㅠ,fmkorea
breakup,헤어진 게 저번 주 목요일,친구하지 마시고 깔끔하게 헤어지세요,fmkorea
breakup,헛소리같아,"사랑하지만 헤어진다, 싫지 않지만 너랑 헤어지겠다는 말 진짜 어이없어요",fmkorea
breakup,헤어졌습니다찼는데도 마음이 정말 아프네요,좋아하는 맘이 커지질 않아서 찼는데도 마음이 아픔?,fmkorea
breakup,헤어진후에,잘 회복하시길,fmkorea
breakup,미치겠다,힘내라,fmkorea
breakup,헤어졌네요,거짓말쟁이는 위로해드릴수없습니다,fmkorea
breakup,헤어짐,결혼을 전제로 만나신건가요?,fmkorea
breakup,4년 만난 여자친구랑 시간 가지고 헤어진지 3주째 되었다,경제관념이면 결혼 여부를 결정할 정도로 아주 중요하죠,fmkorea
breakup,헤어진 커플통장 카드,이건 연락해야 할 듯,fmkorea
breakup,재회 후 헤어짐,재회 후 헤어짐은 진짜 끝인데 시원섭섭하시겠어요,fmkorea
breakup,경! 헤어짐 축!,고생 많았음 ㅌㄷㅌㄷ,fmkorea
breakup,오늘 아침에 여친이랑 헤어졌는데 홀가분해요,고생햇네여 이번일로안목생겨서 더 좋은사람만날수잇을거에여,fmkorea
breakup,5년 만나고 헤어졌습니다,차단 ㄱ,fmkorea
breakup,이별다이어트 너무 무섭네,나는 술맨날마셔서 살찌던데,fmkorea
breakup,조금 있다 매듭지으러 갑니다,화이또,fmkorea
breakup,헤어졌습니다,힘내십쇼 시간이 지나면 점점 무뎌질 겁니다,fmkorea
breakup,헤어졌음,고생했습니다 힘내세요,fmkorea
breakup,400일간의 첫 연애,"당장은 힘들지만, 다음연애는 훨씬더 이쁘게, 잘하실거에요",fmkorea
breakup,여자친구랑 헤어졌어요,그 남자분들하고 연락하는게 뭐 어떤식으로 연락하는거에요? 많이 가까운?,fmkorea
breakup,왜 헤어지자 할때랑 맘이 다르지,본인 일년 반 버렸네 환승이고 사귈때 부터 뭔가 있었을거임 불안하게 한 행동이 뭐길래 그랴요?,fmkorea
breakup,헤어진뒤 이별을 극복하는방법?,연애란건 이별의상처가 아무는시간도 포함되거든요 #화자#님이 아픈것도 자연스러운 과정이에요! 아파하는 자기 자신도 받아들이고 시간이 흐르다보면 잊혀집니다,fmkorea
breakup,일주일쯤 되니까 이제 울지는 않네여,힘내자,fmkorea
breakup,2년의 연애가 끝났네요,얼굴도 안보고 카톡으로 통보 이별하는 사람은 진짜 별로인거 같음 그래도 같이 한 시간이 있는데,fmkorea
breakup,행복했으면 좋겠다,대신욕해줄까?,fmkorea
breakup,잘못은 전여친이 했는데 내가 죽도록 힘들다,너무 안타깝지만 바람피는거 어떻게 발견함???? ㄷㄷ,fmkorea
breakup,너무 힘드네요,원래 후유증이 좀 가기 마련임,fmkorea
breakup,헤어졌다,신뢰는 되돌리기 제일 힘든것같아,fmkorea
breakup,전남친 나 프로필 차단까지 했네,이제 너도 차단확인 그만하고 빨리 잊어야지,fmkorea
breakup,뭐하면 헤어지자는 여친과 헤어짐,둘다 어리신강,fmkorea
breakup,이게 이렇게까지 싸울일인지,서로 좀 안맞는듯,fmkorea
breakup,현타오네요,남일 같지않네요 저랑 비슷해요 ㅠ 어쩌겠습니까 아쉬운 사람이 변해보려고 노력해봐야겠죠 ㅠㅠ,fmkorea
breakup,방금 헤어졌네여,너무 애걸복걸하는거 아뉴? 어차피 오래만나면 그리 대단치도 않아보일텐데 더 만나보면 한달에 2번 만나는게 얼마나 축복인지 깨닳을 수도 있음,fmkorea
breakup,이전에 헤어졌다고 글올린 사람입니다,이미 떠난사람 입니다 너무 신경 쓰지마세요 그러려니 하시는게 나을겁니다 그분보다 좋은분 무조건 나타나니깐 조금만 슬퍼하세요,fmkorea
breakup,갑작스런 이별은 항상 무겁다,힘내시길 바랍니다,fmkorea
breakup,사내연애하다 헤어졌는데 전여친이 점심저녁을 안먹네,아 밥을 안먹는구나,fmkorea
breakup,전여친 느낌 아니면 여자한테 감정이 안생기네요,나도 뭔가 가만히 있고 조용하고 말수없는 여자는 좀 심심하김하더라,fmkorea
breakup,후련하다,헤헤 별거 아님 시간이 약,fmkorea
breakup,2시간전에 헤어졌다,마음정리 잘하시고 힘내세요,fmkorea
breakup,헤어진지 한달 정도 됐습니다,시간이 약 힘내,fmkorea
breakup,좋게 이별할 수 있을가?,단호박이 필요하다,fmkorea
breakup,헤어졌습니다,"나중에 이 사람과 관계 이어나가는게 더 힘들겠다 생각하면 잡지마시고, 행복하게 해줄 수 있다 아직도 사랑한다 하면 잡으세요",fmkorea
breakup,헤어졌다,와 바로 지우기도 쉽지않았을 텐데 화이팅,fmkorea
breakup,오늘 일끝나고 헬스 2시간 조지고 옴,매우 도움됨 산책도 자주 해봥,fmkorea
breakup,전여친 잊는 법,클럽가즈아~~,fmkorea
breakup,너무 슬퍼요,외로우실수있습니다 근데 생각보다 세상엔 재밌는게 많아요,fmkorea
breakup,저도 헤어졌습니다 좋은사람 떠나보냈네요,힘내 형 왜 헤어졌는진 모르겠지만 이별의 아픔은 위로해줄 밖에,fmkorea
breakup,헤어졌습니다,"저도 그런 상황 때문에 헤어진 오래전 연인이 생각나네요 상황때문에 어쩔수 없이 헤어지면 그만큼 더 아쉽고, 더군다나 50일 정도 밖에 안됐는데 아쉬움도 클 것같네요",fmkorea
breakup,뜨악 미치겠다ㅜ,우세요 울고나면 좀괜찮던데,fmkorea
breakup,끝내는거 힘드네요,고생하셨어요ㅠ,fmkorea
breakup,372일 첫연애 어제 끝내고 왔어요,수고하셨읍니다,fmkorea
breakup,나름대로 복수를 했습니다,고생하셨습니다ㅠㅠ,fmkorea
breakup,눈물이 멈추지 않는다,힘냅시다,fmkorea
breakup,손절 힘들다 난 연약한가,누구나 무섭고 연약하다,fmkorea
breakup,헤어졌습니다,맞아요저도 여기서 위로 많이 받았습니다 형님도 기운차리시길 빌게요 화이팅,fmkorea
breakup,헤어지고 아쉬운 점?,과정이죠 이별하고난후 정리,fmkorea
breakup,"2년사귀고 헤어졌는데, 미련때문인지 잡고싶네요",여자는 다 정리한것같은데요,fmkorea
breakup,드디어 헤어졌다,ㅊㅋㅊㅋ 잘 했음,fmkorea
breakup,남자들 후폭풍이라는게 진짜 있어?,케바케,fmkorea
breakup,드디어 헤어졌다,슬프다,fmkorea
breakup,편지 다 버렸다,난 너무 배신감들어서 헤어지자마자 다갖다버렸어요 ㅠㅠ,fmkorea
breakup,헤어지자고 하네요 헤어질 것 같네요,이유가 뭐에요?,fmkorea
breakup,헤어졌는데 같이 재밌게 놀던게 자꾸 생각나네요,저도 같은 학굔데 학교 다닐때마다 괴로워요 ㅠㅠ,fmkorea
breakup,헤어졌음,고생했습니다,fmkorea
breakup,전화하고 싶은데,왜참아?,fmkorea
breakup,헤어진지 반년이 넘었는데 아직도 꿈에 나옵니다,나도 그러 어쩔수 없어,fmkorea
breakup,이별을 고할때 직접 만나는게 나을까요?,최소한의 예의라고 생각합니다,fmkorea
breakup,방금 헤어졌네요,힘내셈,fmkorea
breakup,잠수이별 후 연락,연락하지마세요,fmkorea
breakup,해어졌다,걱정마라 결국엔 언젠가 또 다른사람 만나고싶어질거니까,fmkorea
breakup,이별후재회,숨막힌다 나오면 끝난거,fmkorea
breakup,이별하신 분들 이 노래 한번 들어보세요,비와당신 추천,fmkorea
breakup,3일 쉬고 극복하려 합니다,화이팅합시다!!,fmkorea
breakup,드디어 이별 했습니다,멋집니다,fmkorea
breakup,보고싶다,흑 이별 하실때도 저랑 비슷하시네요 제 여자친구도 눈물 많은 사람이였는데 헤어질땐 세상 차가운 여자로 변하더군요,fmkorea
breakup,450일 이별 위로 좀요 ㅠㅠ,다음 연애는 더 잘맞고 더 좋은사람 만나서 더 행복할거에여,fmkorea
breakup,내 잘못때문에 여친이랑 헤어졌다 너무 미안하네,힘내요 화이팅,fmkorea
breakup,헤어졌읍니다,수고하셨어요,fmkorea
breakup,진짜 이별하고 너무 힘들고 답답한데 어디에 풀 곳도 없어서 여기에라도 적어봅니다 누구라도 읽어주길,시간이 가면갈수록 그사람에대한 그리움도 점점 희미해질태고 분명이 누군가 더 좋은사람또 나타남 대신 열심히살고 자기관리 잘하면서 산다는 가정하에,fmkorea
breakup,3년 연애하고 헤어졌는데,왜 헤어 졌길래,fmkorea
breakup,트와이스 티티 가사 이별후에 들어도 ㄱㅊ,그거 짝사랑 노래 아니였음?,fmkorea
breakup,여친이 우울증이었다 우울한 연인을 위한 조언,힘내십쇼,fmkorea
breakup,결국 연락했는데답이 올까여?,답이 와도 그쪽은 안만날거같아요,fmkorea
breakup,꿈에 갑자기 왜 나와 ㅋㅋ,화이팅,fmkorea
breakup,헤어지고왔어요,우선 얼른 자자,fmkorea
breakup,전화로 이별하는 심리는 무엇일까,넹 헤어지려고 보는것도 부담인거,fmkorea
breakup,3년 반 사귀고 헤어졌습니다,네 이미 오래전부터 여자친구는 혼자서 정리했던것같네요,fmkorea
breakup,어이없게 통보받음ㅋㅋ,에휴 힘내세요 저런사람 많은듯 ㅠㅠ,fmkorea
breakup,"연애 10년, 헤어짐을 고민중",마음 단단히 먹고 헤어지는거 추천드려요답은 아시는것같은데 잘못된 결정으로 평생 불행하실수 있음,fmkorea
breakup,새 인연이 오긴 오려나,언젠가 찾아올것이여,fmkorea
breakup,여자친구한테 방금 그만 만나자고 연락이 왓네요,바빠서 멀어지다보니 갑자기 식었나봄 글쎄 원래도 마음이 별로 안커서 어차피 식을거였거나 바빠서 여유가없어서 잠시 착각한거라거나 본인만 알겠네,fmkorea
breakup,군대 가면 전여자친구 생각 많이 나나요?,사바사인데 저는 많이 생각나고 그랬음 물론 훈련소때 헤어진 상태에서 편지가 와가지고 더더욱,fmkorea
breakup,하루정도 생각 비우니까 그래도 마음이 진정되네요,조금씩 괜찮아질겨,fmkorea
breakup,헤어졌습니다 ㅎㅎ,오 이별을 덤덤히 받아드리는 당신 멋저욥!,fmkorea
breakup,좀전에 헤어졌습니다 위로해주세요ㅠㅠ,고생했습니다 할만큼 하셨으니 빨리 극복 하실거에요,fmkorea
breakup,여친이랑 헤어짐 ㅋ,힘내세요 바쁘게 지내다보면 꽤 빠르게 담담해집니다,fmkorea
breakup,아무것도 못하겠어요,아직 서로가 마음이 있으면 다시 한번 잡아보세요,fmkorea
breakup,상대방이 고백후 거리두면 나도 거리를 두는게 맞지?,그렇게 하는게 가장 좋은 방법이긴 하죠,fmkorea
breakup,찼는데 차인 것 같은 기분이에요,잘 헤어지신듯,fmkorea
breakup,"헤어진 전 여친하고의 카톡기록이나 사진,추억들은 어떻게 지워야하나요??",내버려두는것도 방법중에 하나죠,fmkorea
breakup,안좋은 일은 겹쳐서 오네,좋은 날 왔으면 좋겠어요,fmkorea
breakup,여친 정리 할거에오,마음 정리 잘 하세요,fmkorea
breakup,헤어지고 친구로 지내는중인데,시험때문에 헤어지신건가요 차이신분이 더 마음쓰시네 마무리 잘하시고 악몽그만 꾸시길바랍니다 화이팅,fmkorea
breakup,4년 전에 2년 사귄 여자친구랑 통화하고 완전히 끝내고 오는 길,전 좋게 헤어져서 지금도 가끔 생각남,fmkorea
breakup,진짜 별거 아닌데 생생하게 기억나는 것들이 있어,ㅠㅡㅠ,fmkorea
breakup,헤어진후 카톡답장,"가망없어보이는데용,,, 얼마나만나셨는지는 모르겠지만 그냥 놔주시는게,,",fmkorea
breakup,이별 하고나서,"후회할지언정 보내고, 경험으로 남기는 것도 좋다고 생각합니다",fmkorea
breakup,여자친구랑 헤어졌습니다,축하드립니다!!!,fmkorea
breakup,맘 떠난건 어쩔수 없나봅니다,호에에엥,fmkorea
breakup,2년 만난 여자친구와 여행에서 싸운 뒤 돌아와서 잠시 시간을 갖는 중이네요,이미 한번 신뢰에 금이 가면 돌이키기 힘들더라구요,fmkorea
breakup,끝났습니다,멋있네요,fmkorea
breakup,장문의 문자보내고 끝냈습니다,수고많으셨어요 힘내요,fmkorea
breakup,헤어졌다!!!,힘내시구 좋은 인연 또 만나시길 바라요,fmkorea
breakup,헤어졌네요,20대초반 군대가 참 힘내세요,fmkorea
breakup,다시 잡고싶은데,한번 더 대화를 해보자고 하고 상대방이 그것마저 거부 한다면 힘들겠지만 잊으시는게 좋을 것 같습니다,fmkorea
